query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
DDR4 RDIMM 32GB,Samsung DDR4 32GB (1x32GB) PC4-2133P M393A4K40B00-CPB0Q Server Arbeitsspeiche...,80.00,EUR,Gebraucht,logihanns,https://www.ebay.de/itm/168338867142?_skw=DDR4+RDIMM+32GB&hash=item2731c743c6:g:sDsAAeSwBXRp8SGG,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,8GB 16GB 32GB 64GB DDR4 Server RAM 2133 2400 2666 2933 3200 MHz RDIMM,99.00,EUR,Gebraucht,fibich.onlinehandel,https://www.ebay.de/itm/406873510814?_skw=DDR4+RDIMM+32GB&hash=item5ebb8d139e:g:eCcAAeSw9yVp5p6l,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,SK hynix 32GB DDR4-2400 ECC Reg RDIMM HMA84GR7AFR4N-UH HP 809083-091,100.00,EUR,Gebraucht,sgtfps,https://www.ebay.de/itm/198521125242?_skw=DDR4+RDIMM+32GB&hash=item2e38c7f97a:g:5vEAAeSwBGxqY28x,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,SK hynix 32GB DDR4-2400 ECC Registered RDIMM 2Rx4 PC4-19200 HMA84GR7MFR4N-UH Ser,90.00,EUR,Gebraucht,mifcon,https://www.ebay.de/itm/298542092414?_skw=DDR4+RDIMM+32GB&hash=item45827ed07e:g:wcAAAeSwEbBqafIK,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Samsung 16GB DDR4 PC4-2133P ECC RDIMM 1Rx4 M393A2K40BB0-CPB0Q NetApp 107-22175,105.00,EUR,Gebraucht,sk2015.dani,https://www.ebay.de/itm/327076498579?_skw=DDR4+RDIMM+32GB&hash=item4c27474c93:g:YPkAAeSwMihpyrTS,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Samsung DDR4 32GB (2x16GB) PC4-2133P M393A4G40DB0-CPB3Q Server Arbeitsspeiche...,90.00,EUR,Gebraucht,logihanns,https://www.ebay.de/itm/168486010489?_skw=DDR4+RDIMM+32GB&hash=item273a8c7e79:g:uDUAAeSw~4xqOuKN,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB 2x16GB Crucial DDR4-2133 1.2v CT16G4RFD4213 DR x4 RDIMM MTA36ASF2G72PZ ECC,99.00,EUR,Gebraucht,sohome11,https://www.ebay.de/itm/307142569789?_skw=DDR4+RDIMM+32GB&hash=item47831faf3d:g:wJsAAeSw8KJqXNBu,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB Kit (4x 8GB) SK hynix RAM | DDR4-2133P RDIMM | HMA41GR7AFRAN | Geprüft,99.00,EUR,Gebraucht,ofenloc285,https://www.ebay.de/itm/227211264926?_skw=DDR4+RDIMM+32GB&hash=item34e6d8c39e:g:W8gAAeSw~n5pixCa,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Samsung M393A4K40BB0-CPB4Q 32GB DDR4-2133 Server ECC RAM,100.00,EUR,Gebraucht,kpsarras,https://www.ebay.de/itm/178091864210?_skw=DDR4+RDIMM+32GB&hash=item29771a3092:g:3eEAAeSwpHBp81Zc,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,4x 8GB Samsung DDR4 ECC RDIMM Server RAM 32GB PC4-2400T 1Rx4,100.00,EUR,Gebraucht,computercotton,https://www.ebay.de/itm/800529895503?_skw=DDR4+RDIMM+32GB&hash=itemba634cd04f:g:6goAAeSw7SlqhJNK,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,HP Samsung 32GB DDR4 PC4-2133P-LD0 ECC RDIMM Server RAM,89.10,EUR,Used,supermari000,https://www.ebay.de/itm/267609048314?_skw=DDR4+RDIMM+32GB&hash=item3e4ebe04fa:g:HqwAAeSwv6Jpt8UB,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,2x Samsung 16GB DDR4 2666V | PC4 1Rx4 | RC2 ECC RDIMM Server RAM - M393A2K40CB2,108.00,EUR,Gebraucht,sussus,https://www.ebay.de/itm/267758003833?_skw=DDR4+RDIMM+32GB&hash=item3e579ee679:g:KUMAAeSw8TRqgF7-,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,2x Samsung 16GB DDR4 2666V | PC4 1Rx4 | RC2 ECC RDIMM Server RAM - M393A2K40CB2,108.00,EUR,Gebraucht,sussus,https://www.ebay.de/itm/267758013175?_skw=DDR4+RDIMM+32GB&hash=item3e579f0af7:g:gtcAAeSwli9qgGMN,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB (2x 16GB) SK Hynix DDR4 2400MHz PC4-19200 ECC Registered Server RAM Kit,99.00,EUR,Gebraucht,benctrading,https://www.ebay.de/itm/198591278292?_skw=DDR4+RDIMM+32GB&hash=item2e3cf66cd4:g:z60AAeSwicFqi~wS,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,4x Samsung 8GB 32GB DDR4-2133 ECC REG RDIMM 1Rx4 M393A1G40DB0-CPB0Q,89.90,EUR,Gebraucht,scarw00,https://www.ebay.de/itm/358918464513?_skw=DDR4+RDIMM+32GB&hash=item5391352401:g:OO4AAeSw1yVqfK96,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB 2x 16GB APACER (SAMSUNG Chips) DDR4 2666MHz PC4-2666 REG Server RAM Arbeitsspeicher,97.37,EUR,Used,eco-pc,https://www.ebay.de/itm/336664348942?_skw=DDR4+RDIMM+32GB&hash=item4e62c2490e:g:cCEAAeSwQD1qQ8~I,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB KINGSTON DDR4 2666MT/s PC4-2666V-R REGISTERED SERVER RAM Arbeitsspeicher,97.37,EUR,Used,eco-pc,https://www.ebay.de/itm/336700303395?_skw=DDR4+RDIMM+32GB&hash=item4e64e6e823:g:P1kAAeSwYudp52GT,EBAY_DE,74.936,148.5
