date,marketplace,query,median,cheapest,count,at_target
2026-08-24,EBAY_DE,Xeon E5-2690v4,34.39,24.99,14,4
2026-08-25,EBAY_DE,AMD Ryzen AI Max 395 (Strix Halo),2337.45,2337.45,1,0
2026-08-25,EBAY_DE,DDR4 RDIMM 32GB,99.00,72.00,43,9
2026-08-25,EBAY_DE,DDR4 RDIMM 64GB,222.00,160.00,36,3
2026-08-25,EBAY_DE,DDR5 32GB,283.95,219.00,49,3
2026-08-25,EBAY_DE,DDR5 RDIMM,320.00,320.00,1,0
2026-08-25,EBAY_DE,EliteDesk 800 G4 Mini,209.47,179.90,6,0
2026-08-25,EBAY_DE,EliteDesk 800 G5 Mini,224.97,146.26,28,2
2026-08-25,EBAY_DE,Gaming PC mit RTX 3080,1200.00,847.33,50,4
2026-08-25,EBAY_DE,Gaming PC mit RTX 3090,2200.00,1700.00,9,1
2026-08-25,EBAY_DE,NVMe SSD 2TB,164.59,134.40,50,5
2026-08-25,EBAY_DE,Nvidia Quadro RTX,648.00,459.00,33,8
2026-08-25,EBAY_DE,OptiPlex 3070 Micro,170.59,115.90,40,8
2026-08-25,EBAY_DE,RTX 3090,1500.00,1149.00,39,6
2026-08-25,EBAY_DE,RTX 3090 Ti,1799.00,1379.99,11,2
2026-08-25,EBAY_DE,RTX 4060 Ti 16GB,550.00,499.00,3,0
2026-08-25,EBAY_DE,RTX 4070 Ti Super,1069.00,840.00,15,0
2026-08-25,EBAY_DE,RTX 4080 Super,1150.00,899.00,23,0
2026-08-25,EBAY_DE,RTX 5060,649.00,600.00,6,1
2026-08-25,EBAY_DE,RTX 5070 16GB,1072.50,889.99,10,2
2026-08-25,EBAY_DE,Tesla P40,289.88,241.00,33,4
2026-08-25,EBAY_DE,Tesla T4,709.50,536.58,12,2
2026-08-25,EBAY_DE,ThinkCentre M720q,199.00,139.90,50,3
2026-08-25,EBAY_DE,ThinkCentre M920q,263.00,186.00,50,0
2026-08-25,EBAY_DE,X99 Mainboard,79.90,52.00,7,0
2026-08-25,EBAY_DE,Xeon E5-2690v4,38.37,25.78,14,3
2026-08-26,EBAY_DE,AMD Ryzen AI Max 395 (Strix Halo),2338.16,2099.00,3,0
2026-08-26,EBAY_DE,DDR4 RDIMM 32GB,99.00,74.95,45,7
2026-08-26,EBAY_DE,DDR4 RDIMM 64GB,222.00,169.00,35,3
2026-08-26,EBAY_DE,DDR5 32GB,300.00,224.00,49,6
2026-08-26,EBAY_DE,DDR5 RDIMM,320.00,320.00,1,0
2026-08-26,EBAY_DE,EliteDesk 800 G4 Mini,199.95,179.90,5,2
2026-08-26,EBAY_DE,EliteDesk 800 G5 Mini,229.95,181.50,25,0
2026-08-26,EBAY_DE,Gaming PC mit RTX 3080,1200.00,847.58,50,7
2026-08-26,EBAY_DE,Gaming PC mit RTX 3090,2200.00,1750.00,5,1
2026-08-26,EBAY_DE,Mac Studio Ultra,3499.00,3499.00,1,0
2026-08-26,EBAY_DE,NVMe SSD 2TB,166.72,134.44,50,5
2026-08-26,EBAY_DE,Nvidia Quadro RTX,699.00,490.00,35,9
2026-08-26,EBAY_DE,OptiPlex 3070 Micro,169.06,116.90,39,3
2026-08-26,EBAY_DE,RTX 3090,1500.00,1190.00,42,4
2026-08-26,EBAY_DE,RTX 3090 Ti,1774.50,1399.90,12,2
2026-08-26,EBAY_DE,RTX 4060 Ti 16GB,549.00,499.00,5,0
2026-08-26,EBAY_DE,RTX 4070 Ti Super,1069.00,840.00,15,0
2026-08-26,EBAY_DE,RTX 4080 Super,1190.00,899.00,25,0
2026-08-26,EBAY_DE,RTX 5060,649.00,599.90,8,0
2026-08-26,EBAY_DE,RTX 5070 16GB,1149.50,989.99,12,0
2026-08-26,EBAY_DE,Tesla P40,289.44,233.82,36,6
2026-08-26,EBAY_DE,Tesla T4,729.00,536.58,15,2
2026-08-26,EBAY_DE,ThinkCentre M720q,204.50,139.90,50,6
2026-08-26,EBAY_DE,ThinkCentre M920q,262.00,186.00,50,3
2026-08-26,EBAY_DE,X99 Mainboard,82.45,52.00,8,0
2026-08-26,EBAY_DE,Xeon E5-2690v4,41.74,28.42,14,3
2026-08-28,EBAY_DE,AMD Ryzen AI Max 395 (Strix Halo),2332.96,2090.00,3,0
2026-08-28,EBAY_DE,DDR4 RDIMM 32GB,99.00,75.00,45,7
2026-08-28,EBAY_DE,DDR4 RDIMM 64GB,220.00,167.45,35,4
2026-08-28,EBAY_DE,DDR5 32GB,319.95,222.00,49,7
2026-08-28,EBAY_DE,DDR5 RDIMM,320.00,320.00,1,0
2026-08-28,EBAY_DE,EliteDesk 800 G4 Mini,214.47,179.90,8,2
2026-08-28,EBAY_DE,EliteDesk 800 G5 Mini,222.50,181.50,24,0
2026-08-28,EBAY_DE,Gaming PC mit RTX 3080,1249.00,845.70,50,5
2026-08-28,EBAY_DE,Gaming PC mit RTX 3090,2200.00,1750.00,5,1
2026-08-28,EBAY_DE,Mac Studio Ultra,3499.00,3499.00,1,0
2026-08-28,EBAY_DE,NVMe SSD 2TB,168.68,134.15,50,5
2026-08-28,EBAY_DE,Nvidia Quadro RTX,699.00,490.00,35,11
2026-08-28,EBAY_DE,OptiPlex 3070 Micro,168.96,119.00,39,2
2026-08-28,EBAY_DE,RTX 3090,1500.00,1190.00,46,3
2026-08-28,EBAY_DE,RTX 3090 Ti,1893.50,1400.00,10,1
2026-08-28,EBAY_DE,RTX 4060 Ti 16GB,535.00,499.00,4,0
2026-08-28,EBAY_DE,RTX 4070 Ti Super,1034.50,840.00,18,0
2026-08-28,EBAY_DE,RTX 4080 Super,1193.83,870.00,24,1
2026-08-28,EBAY_DE,RTX 5060,639.50,556.00,10,2
2026-08-28,EBAY_DE,RTX 5070 16GB,1100.00,899.00,14,3
2026-08-28,EBAY_DE,Tesla P40,289.93,245.00,34,3
2026-08-28,EBAY_DE,Tesla T4,737.10,557.24,13,1
2026-08-28,EBAY_DE,ThinkCentre M720q,214.00,139.90,50,5
2026-08-28,EBAY_DE,ThinkCentre M920q,263.00,186.00,50,2
2026-08-28,EBAY_DE,X99 Mainboard,82.45,52.00,8,0
2026-08-28,EBAY_DE,Xeon E5-2690v4,41.74,28.42,14,3
